. Sequence file : [sup35_aln_best_phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #57	10   	-9673.65299	Yes        	4        	0.679    	0.202    	 0.33664   0.19236   0.22213   0.24887	-0.62592   0.11029   0.42508   0.09054  
      	     	          	           	          	           	             	                                      	 0.19301  -1.64090   0.12273   1.32516  
      	     	          	           	          	           	             	                                      	 0.64421   0.10628  -0.79899   0.04849  
      	     	          	           	          	           	             	                                      	 0.12247   1.02427   0.04328  -1.19002  

  #58	10   	-9717.13691	Yes        	4        	0.927    	0.281    	 0.34606   0.18883   0.22638   0.23872	-0.65315   0.10679   0.44003   0.10633  
      	     	          	           	          	           	             	                                      	 0.19570  -1.58182   0.16962   1.21650  
      	     	          	           	          	           	             	                                      	 0.67264   0.14149  -0.86814   0.05401  
      	     	          	           	          	           	             	                                      	 0.15415   0.96226   0.05122  -1.16763  

  #59	10   	-9719.80841	Yes        	4        	0.537    	0.156    	 0.34233   0.19171   0.22044   0.24552	-0.68852   0.11039   0.45120   0.12693  
      	     	          	           	          	           	             	                                      	 0.19713  -1.56206   0.16888   1.19605  
      	     	          	           	          	           	             	                                      	 0.70067   0.14687  -0.85949   0.01196  
      	     	          	           	          	           	             	                                      	 0.17697   0.93388   0.01074  -1.12159  

  #60	10   	-9799.26931	Yes        	4        	0.694    	0.214    	 0.33295   0.19420   0.22637   0.24648	-0.70000   0.11724   0.48246   0.10030  
      	     	          	           	          	           	             	                                      	 0.20100  -1.51520   0.12557   1.18863  
      	     	          	           	          	           	             	                                      	 0.70959   0.10772  -0.86908   0.05177  
      	     	          	           	          	           	             	                                      	 0.13549   0.93652   0.04755  -1.11956  

  #61	10   	-9734.39403	Yes        	4        	0.774    	0.252    	 0.34481   0.19507   0.22739   0.23273	-0.66179   0.10987   0.44334   0.10858  
      	     	          	           	          	           	             	                                      	 0.19421  -1.57343   0.16387   1.21535  
      	     	          	           	          	           	             	                                      	 0.67225   0.14058  -0.82498   0.01215  
      	     	          	           	          	           	             	                                      	 0.16087   1.01871   0.01188  -1.19145  

  #62	10   	-9756.81220	Yes        	4        	0.740    	0.221    	 0.33886   0.19037   0.23872   0.23205	-0.67300   0.13174   0.46489   0.07636  
      	     	          	           	          	           	             	                                      	 0.23450  -1.59717   0.19053   1.17214  
      	     	          	           	          	           	             	                                      	 0.65993   0.15194  -0.86438   0.05251  
      	     	          	           	          	           	             	                                      	 0.11151   0.96159   0.05402  -1.12712  

  #63	10   	-9850.53439	Yes        	4        	0.704    	0.228    	 0.32782   0.18682   0.23434   0.25102	-0.70363   0.12825   0.48724   0.08815  
      	     	          	           	          	           	             	                                      	 0.22504  -1.61958   0.15440   1.24014  
      	     	          	           	          	           	             	                                      	 0.68161   0.12309  -0.84229   0.03759  
      	     	          	           	          	           	             	                                      	 0.11512   0.92296   0.03509  -1.07316  

  #64	10   	-9788.62366	Yes        	4        	0.941    	0.293    	 0.34018   0.19017   0.22789   0.24175	-0.62691   0.11374   0.41204   0.10112  
      	     	          	           	          	           	             	                                      	 0.20346  -1.69574   0.19786   1.29441  
      	     	          	           	          	           	             	                                      	 0.61506   0.16511  -0.79312   0.01294  
      	     	          	           	          	           	             	                                      	 0.14229   1.01823   0.01220  -1.17273  

  #65	10   	-9687.77162	Yes        	4        	0.837    	0.240    	 0.35218   0.20051   0.22273   0.22458	-0.66409   0.11997   0.45143   0.09269  
      	     	          	           	          	           	             	                                      	 0.21072  -1.48647   0.13817   1.13758  
      	     	          	           	          	           	             	                                      	 0.71382   0.12438  -0.88455   0.04635  
      	     	          	           	          	           	             	                                      	 0.14535   1.01563   0.04596  -1.20694  

  #66	10   	-9810.00487	Yes        	4        	0.700    	0.221    	 0.33111   0.19159   0.22213   0.25518	-0.67179   0.12120   0.44829   0.10230  
      	     	          	           	          	           	             	                                      	 0.20946  -1.62883   0.14780   1.27158  
